Generation,Average Fitness,Best Fitness So Far,Best with secondary data
266,-0.34558401942078476,-0.3092286547317193,-0.3772518703848686
267,-0.3468649987417934,-0.3092286547317193,-0.3772518703848686
268,-0.3415367204718986,-0.3092286547317193,-0.3772518703848686
269,-0.34178746358434614,-0.3092286547317193,-0.3772518703848686
270,-0.34159048662736885,-0.3092286547317193,-0.3772518703848686
271,-0.33696566308281706,-0.3092286547317193,-0.3772518703848686
272,-0.3424497941713836,-0.3092286547317193,-0.3772518703848686
273,-0.3349554448215764,-0.3092286547317193,-0.3772518703848686
274,-0.3437750779876004,-0.3092286547317193,-0.3772518703848686
275,-0.34351400398792414,-0.3092286547317193,-0.3772518703848686
276,-0.3501936796283411,-0.3092286547317193,-0.3772518703848686
277,-0.34737496142126895,-0.3092286547317193,-0.3772518703848686
278,-0.3466277180313378,-0.3092286547317193,-0.3772518703848686
279,-0.34505558728583663,-0.3092286547317193,-0.3772518703848686
280,-0.33653501078966774,-0.3092286547317193,-0.3772518703848686
281,-0.34679071552354207,-0.3092286547317193,-0.3772518703848686
282,-0.3417423297141553,-0.3092286547317193,-0.3772518703848686
283,-0.3436138444019008,-0.3092286547317193,-0.3772518703848686
284,-0.34822905458056236,-0.3092286547317193,-0.3772518703848686
285,-0.3489910028589817,-0.3092286547317193,-0.3772518703848686
286,-0.34440618918239774,-0.3092286547317193,-0.3772518703848686
287,-0.3488372661138698,-0.3092286547317193,-0.3772518703848686
288,-0.343095297054552,-0.3092286547317193,-0.3772518703848686
289,-0.34496935722425853,-0.3092286547317193,-0.3772518703848686
290,-0.3499916191648176,-0.3092286547317193,-0.3772518703848686
291,-0.3381882878810367,-0.3092286547317193,-0.3772518703848686
292,-0.3415417530557496,-0.3092286547317193,-0.3772518703848686
293,-0.33905059331779397,-0.3092286547317193,-0.3772518703848686
294,-0.34324446810082165,-0.3092286547317193,-0.3772518703848686
295,-0.3392869393278404,-0.3092286547317193,-0.3772518703848686
296,-0.33767134415303734,-0.3092286547317193,-0.3772518703848686
297,-0.34215381153882896,-0.3092286547317193,-0.3772518703848686
298,-0.3410517765512636,-0.3092286547317193,-0.3772518703848686
299,-0.34654860103803614,-0.3092286547317193,-0.3772518703848686
300,-0.3431067770576133,-0.3092286547317193,-0.3772518703848686
301,-0.3437660095608208,-0.3092286547317193,-0.3772518703848686
302,-0.35797186275569387,-0.3092286547317193,-0.3772518703848686
303,-0.3470424696819071,-0.3092286547317193,-0.3772518703848686
304,-0.35038133269344235,-0.3092286547317193,-0.3772518703848686
305,-0.34988577190583464,-0.3092286547317193,-0.3772518703848686
306,-0.3481928081332841,-0.3092286547317193,-0.3772518703848686
307,-0.34425375563253025,-0.3092286547317193,-0.3772518703848686
308,-0.34346026527540624,-0.3092286547317193,-0.3772518703848686
309,-0.3433669550898527,-0.3092286547317193,-0.3772518703848686
310,-0.33987935959618504,-0.3092286547317193,-0.3772518703848686
311,-0.3361209764346039,-0.3092286547317193,-0.3772518703848686
312,-0.3415203956001275,-0.3092286547317193,-0.3772518703848686
313,-0.3378285478303845,-0.3092286547317193,-0.3772518703848686
314,-0.3364278509851201,-0.308665854137626,-0.36760917637090473
315,-0.3468371013235544,-0.308665854137626,-0.36760917637090473
316,-0.3455388595832335,-0.308665854137626,-0.36760917637090473
317,-0.34033256131512746,-0.3086230571837202,-0.3676621529335861
318,-0.34617170616114223,-0.3086230571837202,-0.3676621529335861
319,-0.3514773926668816,-0.3086230571837202,-0.3676621529335861
320,-0.34621569062266344,-0.3086230571837202,-0.3676621529335861
321,-0.35103348665154444,-0.3086230571837202,-0.3676621529335861
322,-0.3501603369259098,-0.3086230571837202,-0.3676621529335861
323,-0.3434574642458724,-0.3086230571837202,-0.3676621529335861
324,-0.34429400830814777,-0.3086230571837202,-0.3676621529335861
325,-0.3562333927402732,-0.3086230571837202,-0.3676621529335861
326,-0.3467309848956176,-0.3085471767403863,-0.3675469870314224
327,-0.34632931404315587,-0.3085471767403863,-0.3675469870314224
328,-0.34826741767880603,-0.3085471767403863,-0.3675469870314224
329,-0.34745072579600556,-0.3085471767403863,-0.3675469870314224
330,-0.34767218990790616,-0.3085471767403863,-0.3675469870314224
331,-0.35256450837349923,-0.3085471767403863,-0.3675469870314224
332,-0.3400047726080689,-0.3085471767403863,-0.3675469870314224
333,-0.3448186711846845,-0.3085471767403863,-0.3675469870314224
334,-0.343893460064679,-0.3085471767403863,-0.3675469870314224
335,-0.3526965777240589,-0.3085471767403863,-0.3675469870314224
336,-0.35070755879535875,-0.3085471767403863,-0.3675469870314224
337,-0.3548916151662746,-0.3085471767403863,-0.3675469870314224
338,-0.3473344365477031,-0.3085471767403863,-0.3675469870314224
339,-0.35824266959629125,-0.3085471767403863,-0.3675469870314224
340,-0.34632162570905073,-0.3085471767403863,-0.3675469870314224
341,-0.3499389286047564,-0.3085471767403863,-0.3675469870314224
342,-0.3477885258788049,-0.3085471767403863,-0.3675469870314224
343,-0.3357664618217226,-0.3085471767403863,-0.3675469870314224
344,-0.34449649622705747,-0.3082474331798239,-0.3694437232127396
345,-0.3453755465202522,-0.3082474331798239,-0.3694437232127396
346,-0.34386065187024223,-0.3082474331798239,-0.3694437232127396
347,-0.33951592165132816,-0.3079010135845946,-0.3688513971115209
348,-0.33159854832353086,-0.3079010135845946,-0.3688513971115209
349,-0.34859917474941937,-0.3078842559992228,-0.36883477057210773
350,-0.34442354803675534,-0.3072209313927111,-0.3684240741941827
351,-0.34312611021428074,-0.3072209313927111,-0.3684240741941827
352,-0.34408638691654,-0.3072209313927111,-0.3684240741941827
353,-0.34381052650446475,-0.3072209313927111,-0.3684240741941827
354,-0.34067323506740393,-0.3072209313927111,-0.3684240741941827
355,-0.34718225714850504,-0.3072209313927111,-0.3684240741941827
356,-0.3454856639640862,-0.3072209313927111,-0.3684240741941827
357,-0.3408664652458607,-0.3072209313927111,-0.3684240741941827
358,-0.34150091681266326,-0.3072209313927111,-0.3684240741941827
359,-0.3435908130592184,-0.3072209313927111,-0.3684240741941827
360,-0.3428264150062121,-0.3072209313927111,-0.3684240741941827
361,-0.349787947211502,-0.3072209313927111,-0.3684240741941827
362,-0.34077381534402995,-0.3072209313927111,-0.3684240741941827
363,-0.34486450000360436,-0.3072209313927111,-0.3684240741941827
364,-0.3386049868159585,-0.3072209313927111,-0.3684240741941827
365,-0.34862544094900605,-0.3072209313927111,-0.3684240741941827
366,-0.3488401464920824,-0.3072209313927111,-0.3684240741941827
367,-0.34297559589332577,-0.3072209313927111,-0.3684240741941827
368,-0.34187479116025293,-0.3072209313927111,-0.3684240741941827
369,-0.34894809371755464,-0.3072209313927111,-0.3684240741941827
370,-0.3519267019008553,-0.3072209313927111,-0.3684240741941827
371,-0.3459701003707955,-0.3072209313927111,-0.3684240741941827
372,-0.33685509203162217,-0.3072209313927111,-0.3684240741941827
373,-0.34194072004087644,-0.3072209313927111,-0.3684240741941827
